country,product,hs_code,rank_shifts
yemen,aircraft,88,-25.092929292929295
oman,art,97,-22.352525252525254
yemen,animal_products,5,-20.330158730158733
malawi,musical_instruments,92,-19.83131313131313
ghana,arms_and_ammunition,93,-18.024242424242427
uzbekistan,photographic_or_cinematographic_goods,37,-18.015151515151516
ghana,leather_and_skins,41,-16.626262626262626
armenia,food_residues_and_animal_feed,23,-16.447486772486773
yemen,essential_oils,33,-16.306060606060605
nepal,animal_or_vegetable_fats_oils_or_waxes,15,-15.663636363636364
yemen,vehicles,87,-15.570707070707071
burkina_faso,salt_sulphur_lime_cement_etc.,25,-15.32121212121212
burkina_faso,photographic_or_cinematographic_goods,37,-15.2010101010101
yemen,industrial_machinery,84,-15.08989898989899
uzbekistan,arms_and_ammunition,93,-14.904040404040405
qatar,meat,2,-14.85050505050505
qatar,plants,6,-14.783838383838384
yemen,electrical_machinery_and_equipment,85,-14.705050505050504
armenia,miscellaneous_manufactured_articles,96,-14.548484848484847
cambodia,inorganic_chemicals,28,-14.43939393939394
