country,name_short_en,rank_shifts,1995_export_value,2022_export_value
bouvet_island,Miscellaneous Manufactured Articles (20),-94.14010989010988,0,0
bonaire,Collectors' Art and Antiques (21),-61.95,0,5360
south_georgia_and_south_sandwich_islds.,Miscellaneous Manufactured Articles (20),-48.51633986928105,0,0
guam,Arms and Ammunition (19),-44.71180555555556,0,0
western_sahara,Animal or Vegetable Fats (3),-43.4,0,8605
niue,"Articles of Stone, Ceramics, Glass (13)",-41.935353535353535,1881,619123
saint_barthélemy,Articles of Base Metal (15),-41.6,0,72133
wallis_and_futuna,"Optical Instruments, Clocks, Musical Instruments (18)",-39.445454545454545,5037,127212
heard_and_mcdonald_islands,Products of the Chemical or Allied Industries (6),-38.37103174603175,0,0
western_sahara,Pulp of Wood (10),-38.33809523809524,0,21904
djibouti,Animal or Vegetable Fats (3),-38.12828282828283,319172,281984868
wallis_and_futuna,Articles of Base Metal (15),-36.47373737373738,0,9678
pitcairn,Pulp of Wood (10),-36.46666666666666,0,125624
south_georgia_and_south_sandwich_islds.,Machinery and Mechanical Appliances (16),-34.11830065359477,0,338047
tuvalu,Vehicles and Transport Equipment (17),-33.88484848484848,0,12257467
bouvet_island,"Optical Instruments, Clocks, Musical Instruments (18)",-33.68518518518518,0,65998
libya,Vehicles and Transport Equipment (17),-33.52222222222222,4732221,50088061
st_martin,Machinery and Mechanical Appliances (16),-33.022222222222226,0,8346143
bermuda,Products of the Chemical or Allied Industries (6),-32.522222222222226,34881035,21367257
timor-leste,Articles of Base Metal (15),-32.512191358024694,0,287635
